Name,Rating,Price,Category,Lat,Long,City,Address,Zip
Da Bomb BBQ,4.5,-----,"Barbeque, American (Traditional)",42.41666,-71.00824,Revere,744 Broadway St,02151
Aladdin's Grill,4.5,$$,"Mediterranean, Middle Eastern",42.42324,-71.00951,Revere,148 Squire Rd,02151
Hook & Reel Cajun Seafood and Bar,3.5,$$,"Seafood, Cajun/Creole",42.410671,-70.994562,Revere,151 Vfw Pkwy,02151
La Metapaneca Grill,4.5,-----,"Salvadoran, Tacos",42.4059495753408,-70.9915793314576,Revere,63 Revere Beach Blvd,02151
Kelly's Roast Beef,3.5,$$,"Sandwiches, Seafood",42.423498,-70.983928,Revere,410 Revere Beach Blvd,02151
Wraps on the Beach,5.0,-----,Falafel,42.42479,-70.98316,Revere,425 Revere Beach Blvd,02154
Peter's Super Beef,4.0,$,Sandwiches,42.4082803373975,-70.9936094284058,Revere,1485 N Shore Rd,02151
Thmor Da,4.5,$$,Cambodian,42.4079042,-70.9953778,Revere,144 Shirley Ave,02151
Nino's Restaurant & Bar,4.0,$$,"Bars, American (New), Seafood",42.4096673,-71.0011516,Revere,7 B Everett St,02151
Rice Passions,4.5,$$,"Thai, Asian Fusion",42.424,-71.00956,Revere,163 Squire Rd,02151
Ciao! Pizza & Pasta,5.0,$$,"Italian, Pizza",42.3892518,-71.0409076,Chelsea,59 Williams St,02150
D'Amelio’s Restaurant,4.0,$$,"Seafood, Italian, Bars",42.41863,-70.99898,Revere,306 Revere St,02151
B.W.'s Grill,4.5,$,Breakfast & Brunch,42.418436,-71.0066641,Revere,843 Broadway,02151
Bridge Pizzeria,4.0,$$,Pizza,42.430748,-71.023614,Revere,800 Washington Ave,02151
Los Agaves,4.5,$$,Mexican,42.4017136299352,-71.0202544927597,Chelsea,950 Broadway,02150
Beachmont Roast Beef,4.0,$,"Sandwiches, Steakhouses, Chicken Wings",42.3975567796367,-70.9921733711296,Revere,629 Winthrop Ave,02151
New Deal Fruit,4.5,$$,"Delis, Sandwiches, International Grocery",42.4198735,-71.0057918,Revere,920 Broadway St,02151
Bagel Bin Deli,4.0,$,"Breakfast & Brunch, Pizza",42.4072570800781,-70.9931640625,Revere,207 Shirley Ave,02151
Brewin Cafe,4.5,$,Cafes,42.40854,-71.01298,Revere,311 Broadway,02151
Bridges Nepali Cuisine,4.5,-----,Himalayan/Nepalese,42.3858,-70.97524,Winthrop,35 Crest Ave,02152
Crying Thaiger,4.5,$$,Thai,42.4248607,-71.0647464,Malden,114 Ferry St,02148
Taqueria Jalisco,4.5,$,Mexican,42.37872,-71.02818,Boston,291 Bennington St,02128
Yutaka Buffet,3.5,$$,"Buffets, Chinese, Japanese",42.4283204854287,-71.0123628426427,Revere,339 Sq Rd,02151
Blackstrap BBQ,4.0,$$,Barbeque,42.3746937,-70.9869134,Winthrop,47 Woodside Ave,02152
New Saigon,4.5,$,Vietnamese,42.3863369,-71.0073229,Boston,985 Bennington St,02128
The Marina Restaurant & Bar At the Wharf,4.0,$$,"Seafood, Bars, American (Traditional)",42.43091,-70.97926,Revere,543 N Shore Rd,02151
Winthrop Arms Hotel & Restaurant,4.0,$$,"Hotels, American (Traditional), Seafood",42.3869015,-70.9718157,Winthrop,130 Grovers Ave,02152
5 Spices House,4.0,$$,"Buffets, Sushi Bars, Hot Pot",42.42382,-71.06986,Malden,95 Middlesex St,02148
Victor's Italian Restaurant,4.5,$$,Italian,42.4467180669308,-71.0109351575375,Saugus,560 Lincoln Ave,01906
3rd Alarm Wood Fired Pizza,5.0,-----,"Food Trucks, Pizza",42.40474,-70.99439,Revere,,02151
Margaritas Mexican Restaurant,3.0,$$,"Mexican, Bars",42.411783,-71.001232,Revere,85 American Legion Hwy,02151
Sabella's Ravioli,4.5,$,Italian,42.42013,-71.0056199,Revere,910 Broadway,02151
Happy Garden Chinese Restaurant,3.5,$,Chinese,42.406944,-70.9915484,Revere,80 Revere Beach Blvd,02151
Santorini,3.5,$$,Seafood,42.42219,-70.98503,Revere,376 Revere Beach Blvd,02151
La Esquina Del Sabor,4.0,$$,Colombian,42.3976692854475,-70.9918321296573,Revere,1 Unity Ave,02151
Love Dog Hot Dog Buffet,4.5,$,Food Stands,42.4028579,-71.0488412,Everett,1865 Revere Beach Pkwy,02149
Flaming Grill & Buffet,3.5,$$,Buffets,42.39762,-71.001065,Revere,31 Furlong Dr,02151
Renzo Pizzeria,3.0,$$,"Pizza, Italian, Tapas Bars",42.4224699,-70.98483,Revere,381 Revere Beach Blvd,02151
Sunny Cafe,4.5,$,Sushi Bars,42.386834,-71.006882,Boston,1000 Bennington St,02128
Volare Restaurant and Bar,4.0,$$,"Italian, Lounges",42.41021,-71.01247,Revere,388 Broadway,02151
Sabrine Bakery & Cafe,4.0,-----,"Bakeries, Middle Eastern, Breakfast & Brunch",42.40629,-70.99384,Revere,91 Centennial Ave,02151
New Shanghai Express,3.5,$,Chinese,42.41154,-70.99825,Revere,120 Vfw Pkwy,02151
Billy Tse Restaurant,3.5,$$,Chinese,42.4184379577637,-70.9939575195312,Revere,441 Revere St,02151
Floramo's Restaurant,4.0,$$,"Italian, Barbeque, Pizza",42.398647,-71.040004,Chelsea,213 Everett Ave,02150
Carmelina's,4.5,$$,Italian,42.36388,-71.05415,Boston,307 Hanover St,02113
Cafe Costa Del Sol,3.5,$$,"Salvadoran, Imported Food",42.40975,-71.01288,Revere,366 Broadway,02151
Pikliz International Kitchen,4.5,$$,Caribbean,42.3916702270508,-71.0922546386719,Somerville,288A Broadway,02145
Taco Loco Mexican Grill,4.5,$,Mexican,42.3863690346479,-71.0795889794827,Somerville,44 Broadway,02145
Airport Diner,3.5,$,"Breakfast & Brunch, Diners, American (Traditional)",42.401822181182,-71.0042817932732,Revere,10 Furlong Dr,02151
Bella Isla Express,4.0,-----,"Caribbean, Mexican",42.39862,-71.031,Chelsea,181 Washington Ave,02150
Kabob Hut,5.0,-----,"Indian, Pakistani",42.424,-71.00956,Revere,163 Squire Rd,02151
D'Parma Restsurant,2.5,-----,Italian,42.408151123468,-71.0132435185185,Revere,288 Broadway,02151
Mystic Station,4.5,$$,"American (New), Cocktail Bars, Desserts",42.4272503,-71.0708219,Malden,139 Pleasant St,02148
Peter Woo's,3.5,$$,"Chinese, Soup, Chicken Wings",42.409945,-71.0127351,Revere,374 Broadway,02151
Fajitas Sports Bar and Restaurant,3.5,-----,"Mexican, Sports Bars",42.41689,-71.00715,Revere,46 Revere St,02151
